序號,標章機關名稱,網站名稱,網址,標章等級,檢測日期,標章狀態,大分類,分類
784,民間團體,維新OpneEdx,https://www.edx.com.tw,AAA,2023/11/10,啟用,教育機構,教育科技/補教服務公司
788,民間團體,南開科技大學,https://www.nkut.edu.tw/,A,2023/11/13,啟用,教育機構,大學/技專校院
821,民間團體,龍華科技大學語言中心,https://lc.lhu.edu.tw,A,2024/12/31,啟用,教育機構,大學/技專校院
822,民間團體,龍華科技大學秘書室,https://secretary.lhu.edu.tw,A,2024/11/22,啟用,教育機構,大學/技專校院
840,民間團體,友邦人壽官網,https://www.aia.com.tw,AA,2025/3/10,啟用,金融服務業,保險/金融友善服務
849,民間團體,開南大學校首頁,https://www.knu.edu.tw,AA,2024/10/30,啟用,教育機構,大學/技專校院
858,民間團體,臺北市大安運動中心,http://www.daansports.com.tw/,A,2024/12/16,啟用,生活休閒場館,運動中心/場館
860,民間團體,康寧學校財團法人康寧大學,https://www.ukn.edu.tw/,AA,2024/12/16,啟用,教育機構,大學/技專校院
867,民間團體,安達產險金融友善服務專區 ,https://www.chubb.com/tw-zh/accessibility.html,A,2024/10/22,啟用,金融服務業,保險/金融友善服務
872,民間團體,康和綜合證券金融友善服務專區,https://stock.concords.com.tw/concords_Friendly/,A,2024/12/13,啟用,金融服務業,銀行/證券/期貨/投信
876,民間團體,文藻外語大學,https://a001.wzu.edu.tw,A,2024/12/31,啟用,教育機構,大學/技專校院
877,民間團體,東南科技大學官方網站,https://www.tnu.edu.tw/,AA,2024/12/16,啟用,教育機構,大學/技專校院
889,民間團體,富邦人壽-全委帳戶專區,https://invest.fubonlife.com.tw/life/hot,A,2024/12/17,啟用,金融服務業,保險/金融友善服務
897,民間團體,健行科技大學,https://www.uch.edu.tw/,AA,2025/2/14,啟用,教育機構,大學/技專校院
900,民間團體,南開科技大學念先紀念圖書館,https://library.nkut.edu.tw/,A,2024/10/23,啟用,教育機構,大學/技專校院
901,民間團體,板信商業銀行利匯率查詢,https://rate.bop.com.tw/,A,2024/10/23,啟用,金融服務業,銀行/證券/期貨/投信
906,民間團體,龍華科技大學稽核處,https://audit.lhu.edu.tw,A,2024/12/17,啟用,教育機構,大學/技專校院
910,民間團體,龍華科技大學校務研究中心,https://ir.lhu.edu.tw,A,2024/12/10,啟用,教育機構,大學/技專校院
914,民間團體,國科會臺灣資安科技研究中心,https://www.tacc.tw,AA,2024/12/17,啟用,財團法人/公協會,政府捐助/委辦法人機構
915,民間團體,財團法人台灣綠色生產力基金會-服務業節能服務網,https://www.ecct.org.tw/,A,2025/2/14,啟用,財團法人/公協會,財團法人/基金會/公協會
923,民間團體,南開科技大學管理學院,https://nkmgt.nkut.edu.tw/,A,2024/10/25,啟用,教育機構,大學/技專校院
